date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2019 Jan 26,2458509.6491,g,18.79,0.11,20.02,P48+ZTF,1,None,True,True,None
2019 Jan 26,2458509.6491,g,18.79,0.11,20.02,P48+ZTF,1,None,True,True,0.708571434021
2019 Jan 31,2458514.6511,g,18.05,0.07,20.49,P48+ZTF,1,None,True,True,None
2019 Feb 20,2458534.6292,g,99.0,99.0,18.88,P48+ZTF,1,None,True,True,None
2019 Feb 25,2458539.6320,g,19.92,0.20,20.18,P48+ZTF,1,None,True,True,None
2019 Feb 26,2458540.6150,r,18.97,0.12,20.17,P48+ZTF,3,None,True,True,0.657142877579
