date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Sep 13,2458374.8913,r,99.0,99.0,20.73,P48+ZTF,3,None,True,True,None
2018 Sep 13,2458374.9046,g,99.0,99.0,20.81,P48+ZTF,3,None,True,True,None
2018 Sep 13,2458374.9055,g,99.0,99.0,20.80,P48+ZTF,1,None,True,True,None
2018 Sep 13,2458374.9059,g,99.0,99.0,20.87,P48+ZTF,3,None,True,True,None
2018 Sep 14,2458375.8712,r,99.0,99.0,20.69,P48+ZTF,3,None,True,True,None
2018 Sep 14,2458375.8721,r,99.0,99.0,20.71,P48+ZTF,1,None,True,True,None
2018 Sep 14,2458375.8726,r,99.0,99.0,20.68,P48+ZTF,3,None,True,True,None
2018 Sep 14,2458375.9224,g,99.0,99.0,20.74,P48+ZTF,3,None,True,True,None
2018 Sep 14,2458375.9326,g,99.0,99.0,20.96,P48+ZTF,3,None,True,True,None
2018 Sep 14,2458375.9336,g,99.0,99.0,20.98,P48+ZTF,1,None,True,True,None
2018 Sep 15,2458376.9193,r,99.0,99.0,20.83,P48+ZTF,3,None,True,True,None
2018 Sep 15,2458376.9430,g,99.0,99.0,20.95,P48+ZTF,3,None,True,True,None
2018 Sep 15,2458376.9444,g,99.0,99.0,20.90,P48+ZTF,3,None,True,True,None
2018 Sep 16,2458377.8819,g,99.0,99.0,20.98,P48+ZTF,3,None,True,True,None
2018 Sep 16,2458377.8828,g,99.0,99.0,20.97,P48+ZTF,1,None,True,True,None
2018 Sep 16,2458377.8888,g,99.0,99.0,20.90,P48+ZTF,3,None,True,True,None
2018 Sep 16,2458377.9241,r,19.72,0.11,20.71,P48+ZTF,1,None,True,True,None
2018 Sep 16,2458377.9251,r,19.77,0.13,20.60,P48+ZTF,3,None,True,True,0.656666994095
2018 Sep 16,2458377.9260,r,19.62,0.10,20.75,P48+ZTF,3,None,True,True,0.553333342075
