Name RA Dec Date z dt limit
DES16S2fqu 02:47:05.94 -00:20:50.40 57746.0 -1.0 356.0 139.157826216
DES14C3htq 03:30:17.34 -27:41:46.61 56950.0 -1.0 "" ""
DES16X1ddm 02:15:18.88 -04:21:52.07 57701.0 -1.0 386.0 111.551606392
DES14E2bfx 00:42:40.58 -44:25:05.62 56916.0 -1.0 "" ""
DES16X2bke 02:24:02.30 -07:16:17.87 57653.0 -1.0 "" ""
DES14E2xsm 00:38:42.27 -43:35:14.11 56916.0 -1.0 "" ""
DES16X3ddi 02:21:45.39 -04:41:08.95 57694.0 -1.0 393.0 127.840246409
DES14X1qzg 02:19:43.65 -05:26:30.87 57001.0 -1.0 "" ""
DES16X3erw 02:24:49.31 -04:30:51.45 57730.0 -1.0 357.0 117.507535855
DES14X3pko 02:27:37.95 -03:41:44.27 56987.0 -1.0 "" ""
DES16X3wt 02:24:56.98 -05:32:42.19 57624.0 -1.0 "" ""
DES15C3edw 03:30:12.59 -27:42:34.93 57278.0 -1.0 "" ""
KSN 13:31:51.64 -10:44:09.48 57232.200000000186 0.09 "" ""
